days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
285	0.268213	0.019948	0.003198	0.000989	0.002090	0.000848	0.000085	0.704631	0.117259
286	0.267433	0.019228	0.003083	0.000950	0.002014	0.000845	0.000085	0.706363	0.117506
287	0.266672	0.018532	0.002975	0.000914	0.001947	0.000847	0.000085	0.708028	0.117737
288	0.265938	0.017859	0.002873	0.000885	0.001876	0.000845	0.000085	0.709639	0.117961
289	0.265224	0.017209	0.002770	0.000857	0.001806	0.000845	0.000085	0.711203	0.118170
290	0.264544	0.016583	0.002664	0.000825	0.001742	0.000845	0.000086	0.712712	0.118372
291	0.263877	0.015981	0.002575	0.000791	0.001677	0.000847	0.000086	0.714166	0.118564
292	0.263235	0.015403	0.002481	0.000767	0.001616	0.000845	0.000086	0.715569	0.118749
293	0.262614	0.014858	0.002370	0.000735	0.001564	0.000847	0.000086	0.716926	0.118922
294	0.262010	0.014322	0.002300	0.000701	0.001497	0.000844	0.000086	0.718241	0.119088
295	0.261423	0.013804	0.002213	0.000683	0.001450	0.000846	0.000087	0.719494	0.119240
296	0.260854	0.013313	0.002131	0.000662	0.001391	0.000845	0.000087	0.720716	0.119388
297	0.260298	0.012834	0.002059	0.000635	0.001341	0.000845	0.000087	0.721901	0.119525
298	0.259758	0.012381	0.001975	0.000619	0.001290	0.000846	0.000088	0.723043	0.119653
299	0.259235	0.011934	0.001913	0.000585	0.001245	0.000846	0.000088	0.724153	0.119774
300	0.258724	0.011516	0.001838	0.000570	0.001203	0.000847	0.000088	0.725213	0.119888
301	0.258234	0.011104	0.001780	0.000545	0.001157	0.000845	0.000089	0.726247	0.119998
302	0.257755	0.010712	0.001712	0.000531	0.001117	0.000847	0.000089	0.727238	0.120097
303	0.257284	0.010341	0.001654	0.000506	0.001079	0.000846	0.000089	0.728202	0.120191
304	0.256829	0.009984	0.001594	0.000487	0.001040	0.000845	0.000089	0.729132	0.120279
305	0.256383	0.009636	0.001543	0.000473	0.000998	0.000846	0.000090	0.730031	0.120358
306	0.255950	0.009302	0.001489	0.000456	0.000966	0.000845	0.000090	0.730903	0.120431
307	0.255528	0.008979	0.001438	0.000442	0.000932	0.000845	0.000090	0.731746	0.120499
308	0.255120	0.008662	0.001390	0.000426	0.000904	0.000846	0.000090	0.732560	0.120564
309	0.254717	0.008374	0.001333	0.000416	0.000870	0.000846	0.000090	0.733354	0.120625
310	0.254322	0.008089	0.001295	0.000393	0.000838	0.000845	0.000091	0.734127	0.120679
311	0.253932	0.007823	0.001247	0.000382	0.000814	0.000843	0.000091	0.734869	0.120727
312	0.253557	0.007560	0.001209	0.000371	0.000782	0.000842	0.000092	0.735589	0.120772
313	0.253191	0.007306	0.001166	0.000359	0.000756	0.000845	0.000092	0.736284	0.120812
314	0.252833	0.007066	0.001128	0.000343	0.000730	0.000843	0.000092	0.736965	0.120849
315	0.252479	0.006837	0.001091	0.000333	0.000706	0.000841	0.000092	0.737620	0.120881
316	0.252136	0.006615	0.001060	0.000319	0.000683	0.000841	0.000092	0.738255	0.120911
317	0.251801	0.006404	0.001020	0.000311	0.000663	0.000838	0.000093	0.738870	0.120938
318	0.251475	0.006204	0.000985	0.000301	0.000636	0.000836	0.000093	0.739470	0.120964
319	0.251158	0.006011	0.000954	0.000288	0.000614	0.000830	0.000094	0.740050	0.120986
320	0.250847	0.005823	0.000929	0.000280	0.000594	0.000826	0.000094	0.740608	0.121008
321	0.250543	0.005643	0.000897	0.000274	0.000575	0.000821	0.000094	0.741152	0.121026
322	0.250246	0.005473	0.000869	0.000261	0.000556	0.000814	0.000094	0.741686	0.121044
323	0.249957	0.005306	0.000844	0.000256	0.000536	0.000807	0.000094	0.742201	0.121059
324	0.249679	0.005143	0.000813	0.000246	0.000522	0.000799	0.000093	0.742704	0.121072
325	0.249404	0.004989	0.000792	0.000239	0.000501	0.000792	0.000092	0.743191	0.121085
326	0.249136	0.004838	0.000771	0.000232	0.000486	0.000784	0.000092	0.743661	0.121095
